OBJECTID,YEAR_,STATE,GIS_ACRES,SHAPE_Length,SHAPE_Area
42539,2019,CA,24.501352,1688.257672,154758.2406
42540,2019,CA,28.659925,3763.159464,179065.3453
42541,2019,CA,2520.8787,23366.14829,15702125.39
42542,2019,CA,13.854422,1240.624801,85477.13182
42543,2019,CA,171.94772,5491.143334,1064147.276
42544,2019,CA,18.164337,1706.795386,112498.4112
42545,2019,CA,305.68286,5277.857885,1889138.037
42546,2019,CA,61.592369,4904.804115,380769.9367
42547,2019,CA,167.33279,4258.334923,1051610.515
42548,2019,CA,11.789393,1264.803731,72879.27994
42549,2019,CA,289.15143,9999.107268,1782338.516
42550,2019,CA,13.019149,2136.630803,82252.88987
42551,2019,CA,8.2216024,1318.084124,53203.82257
42552,2019,CA,61.750446,3804.312249,394295.4335
42553,2019,CA,9.3673754,1593.012267,59831.3515
42554,2019,CA,493.25879,14514.87813,3476620.083
42555,2019,CA,42.175037,3400.679987,295470.4859
42556,2019,CA,24.755692,2972.805534,173258.3137
42557,2019,CA,14.630541,1777.279472,102542.2442
42558,2019,CA,15.383965,1509.410783,108143.3772
42559,2019,CA,33.092155,4074.173245,232288.6192
42560,2019,CA,129.06361,6013.637333,902104.8337
42561,2019,CA,46.405109,2751.67323,324549.555
42562,2019,CA,32.789631,2609.908583,229141.527
42563,2019,CA,112.29245,6318.646022,786182.6123
42564,2019,CA,605.48975,12951.13657,4179430.961
42565,2019,CA,2534.2109,24232.18093,17525519.38
42566,2019,CA,8822.0244,59558.64081,61191653.47
42567,2019,CA,1.3996444,658.9546275,9185.656356
42568,2019,CA,23.174004,2602.207767,151877.4382
42569,2019,CA,66.704887,3349.898632,436621.9556
42570,2019,CA,44.079975,2563.368135,287876.4415
42571,2019,CA,200.08377,7638.956374,1303951.894
42572,2019,CA,32.694424,2397.044647,212402.5055
42573,2019,CA,84.138145,4074.117966,548318.4274
